competition,country,gender,link,mark,name,position,sport
The XXX Olympic Games,NZL,F,https://www.worldathletics.org/athletes/new-zealand/valerie-adams-14292861,20.70,Valerie ADAMS,1,Shot Put
The XXX Olympic Games,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/lijiao-gong-14266426,20.22,Lijiao GONG,2,Shot Put
The XXX Olympic Games,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/ling-li-14266009,19.63,Ling LI,3,Shot Put
The XXX Olympic Games,USA,F,https://www.worldathletics.org/athletes/united-states/michelle-carter-14307333,19.42,Michelle CARTER,4,Shot Put
The XXX Olympic Games,CHN,F,https://www.worldathletics.org/athletes/pr-of-china/xiangrong-liu-14265747,19.18,Xiangrong LIU,5,Shot Put
The XXX Olympic Games,BRA,F,https://www.worldathletics.org/athletes/brazil/geisa-arcanjo-14269427,19.02,Geisa ARCANJO,6,Shot Put
The XXX Olympic Games,CHI,F,https://www.worldathletics.org/athletes/chile/natalia-ducó-14266859,18.80,Natalia DUCÓ,7,Shot Put
The XXX Olympic Games,GER,F,https://www.worldathletics.org/athletes/germany/christina-schwanitz-14279753,18.47,Christina SCHWANITZ,8,Shot Put
The XXX Olympic Games,BLR,F,https://www.worldathletics.org/athletes/belarus/natalya-mikhnevich-14269847,18.42,Natallia MIKHNEVICH,9,Shot Put
The XXX Olympic Games,RUS,F,https://www.worldathletics.org/athletes/russia/irina-tarasova-14299526,DQ,Irina TARASOVA,"(None,)",Shot Put
The XXX Olympic Games,RUS,F,https://www.worldathletics.org/athletes/russia/yevgeniya-kolodko-14298170,DQ,Evgeniia KOLODKO,"(None,)",Shot Put
The XXX Olympic Games,BLR,F,https://www.worldathletics.org/athletes/belarus/nadezhda-ostapchuk-14269709,DQ,Nadzeya OSTAPCHUK,"(None,)",Shot Put
