competition,country,link,mark,name,position,sport
The XXX Olympic Games,ETH,https://www.worldathletics.org/athletes/ethiopia/tiki-gelana-14259718,2:23:07,Tiki GELANA,1,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/prisca-jeptoo-14289039,2:23:12,Priscah JEPTOO,2,"(['Marathon'],)"
The XXX Olympic Games,RUS,https://www.worldathletics.org/athletes/russia/tatiana-arkhipova-14298902,2:23:29,Tatyana ARKHIPOVA,3,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/mary-jepkosgei-keitany-14289084,2:23:56,Mary Jepkosgei KEITANY,4,"(['Marathon'],)"
The XXX Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/xiaolin-zhu-14264209,2:24:48,Xiaolin ZHU,5,"(['Marathon'],)"
The XXX Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/jessica-augusto-14294784,2:25:11,Jessica AUGUSTO,6,"(['Marathon'],)"
The XXX Olympic Games,ITA,https://www.worldathletics.org/athletes/italy/valeria-straneo-14285328,2:25:27,Valeria STRANEO,7,"(['Marathon'],)"
The XXX Olympic Games,RUS,https://www.worldathletics.org/athletes/russia/albina-mayorova-14297938,2:25:38,Albina MAYOROVA,8,"(['Marathon'],)"
The XXX Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/shalane-flanagan-14310164,2:25:51,Shalane FLANAGAN,9,"(['Marathon'],)"
The XXX Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/kara-goucher-14311212,2:26:07,Kara GOUCHER,10,"(['Marathon'],)"
The XXX Olympic Games,NAM,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:26:09,Helalia JOHANNES,11,"(['Marathon'],)"
The XXX Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/marisa-barros-14294793,2:26:13,Marisa BARROS,12,"(['Marathon'],)"
The XXX Olympic Games,GER,https://www.worldathletics.org/athletes/germany/irina-mikitenko-14278911,2:26:44,Irina VOLYNSKAYA,13,"(['Marathon'],)"
The XXX Olympic Games,NZL,https://www.worldathletics.org/athletes/new-zealand/kimberley-smith-14293171,2:26:59,Kimberley SMITH,14,"(['Marathon'],)"
The XXX Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/ryoko-kizaki-14286842,2:27:16,Ryoko KIZAKI,15,"(['Marathon'],)"
The XXX Olympic Games,AUS,https://www.worldathletics.org/athletes/australia/lisa-weightman-14271094,2:27:32,Lisa WEIGHTMAN,16,"(['Marathon'],)"
The XXX Olympic Games,SWE,https://www.worldathletics.org/athletes/sweden/isabellah-andersson-14301672,2:27:36,Isabellah ANDERSSON,17,"(['Marathon'],)"
The XXX Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/yoshimi-ozaki-14287672,2:27:43,Yoshimi OZAKI,18,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/edna-ngeringwony-kiplagat-14289137,2:27:52,Edna Ngeringwony KIPLAGAT,19,"(['Marathon'],)"
The XXX Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/dulce-félix-14294876,2:28:12,Dulce FÉLIX,20,"(['Marathon'],)"
The XXX Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/xueqin-wang-14265022,2:28:21,Xueqin WANG,21,"(['Marathon'],)"
